id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1413435,Great flat in heart of Kreuzberg!,7602912,Ed,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49235,13.42002,Entire home/apt,65,60,3,2013-08-19,0.04,1,0
1418849, Casa Cool'n Cozy Berlin,7592348,Stefani,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50484,13.42262,Entire home/apt,50,30,53,2016-02-25,0.76,1,0
1419206,Private Room with Backyard Patio,7493737,René,Pankow,Pankow Süd,52.55836,13.4096,Private room,58,3,17,2018-10-13,0.35,1,251
1421907,Beautyful Altbau room in P-Berg,7654105,Ciro,Pankow,Prenzlauer Berg Nordwest,52.55423,13.40995,Private room,40,3,11,2018-09-16,0.16,1,360
1423398,Quiet family oasis in Bergmannkiez,7660196,Ella,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50335,13.39609,Entire home/apt,120,2,14,2016-04-04,0.23,1,121
1424667,Cozy room in quiet neighbourhood Neukölln,7585649,Bee,Neukölln,Neuköllner Mitte/Zentrum,52.46534,13.4376,Private room,20,5,39,2019-01-04,0.56,2,212
1426177,LOUNGEartKREUZKÖLN@TURKISH MARKET,4486305,Guy,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49845,13.43692,Entire home/apt,79,60,84,2019-01-04,1.20,3,101
1427156,Strong center Apartment in MITTE / long-term only,7429969,Olga,Mitte,Brunnenstr. Süd,52.53324,13.40573,Entire home/apt,70,5,93,2018-08-25,1.33,1,24
1429587,Cosy Studio!,1482081,Ralph,Mitte,Osloer Straße,52.5537,13.38384,Entire home/apt,39,2,146,2019-05-09,2.09,4,269
1433334,Super nice and cozy room in Kreuzberg,7645075,Sonja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49405,13.39721,Private room,30,1,2,2016-08-18,0.06,1,0
1434793,Top floor appt. + sunny balcony!,7711221,Antje,Pankow,Prenzlauer Berg Süd,52.53634,13.43228,Entire home/apt,40,3,3,2015-07-08,0.06,1,0
1439011,Schönes neu renoviertes Zimmer nähe Friedrichshain,6561859,Florian,Lichtenberg,Neu Lichtenberg,52.50027,13.49525,Private room,30,3,15,2019-04-21,0.31,1,0
1440278,TownHouse with amazing view and roof top terrace!,2486507,Adnan,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49822,13.47097,Entire home/apt,99,1,67,2019-04-08,2.39,1,184
1442066,Holiday house in the green at the edge of the forest,7743542,Christian,Marzahn - Hellersdorf,Mahlsdorf,52.47547,13.60022,Entire home/apt,75,3,111,2019-05-03,1.61,1,143
1448533,Sunny Apartment with Balcony,7774275,Laure,Mitte,Wedding Zentrum,52.55157,13.37398,Entire home/apt,80,3,204,2019-05-01,2.91,1,7
1455157,Cosy & quiet place in Kreuzberg,7804284,Enka,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5028,13.41684,Private room,55,2,14,2017-08-09,0.20,1,194
1457197,Room in shared Flat in Kreuzberg,7814818,Sarah,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49385,13.43441,Private room,25,1,16,2017-07-26,0.28,1,0
1457828,Spacious apartment in trendy Kreuzberg,3039044,Jorrit,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49728,13.41608,Entire home/apt,45,5,30,2019-01-27,0.56,1,8
1458754,Beautiful 2BD flat 114-m2 Altbau,5412567,Brigitte,Charlottenburg-Wilm.,Kantstraße,52.50679,13.31488,Entire home/apt,155,3,50,2019-03-01,0.78,1,147
1459695,Minimalist 100 sqm apartment in Neukölln,7824258,Stephan,Neukölln,Schillerpromenade,52.46601,13.42249,Entire home/apt,100,20,0,,,1,2
1461097,Gemütliche DG-Whg mit grünem Balkon,7731478,Martin & Tine,Tempelhof - Schöneberg,Tempelhof,52.4579,13.39185,Entire home/apt,45,5,1,2013-09-03,0.01,1,0
1461104,nice room in the heart of Kreuzberg,7830966,Jan,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50069,13.42956,Private room,35,2,5,2014-08-12,0.08,1,42
1463302,Green view in the heart of F'hain,6580253,Sereina,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51807,13.44651,Private room,25,90,6,2018-11-30,0.09,2,0
1465653,schöne 2 Zimmer Wohnung in Neukölln (nähe Kanal),7760729,Stephanie,Neukölln,Reuterstraße,52.48639,13.43545,Entire home/apt,48,1,0,,,1,40
1466154,Apartment in Berlin-Kreuzberg,3804152,Ede,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48925,13.39172,Entire home/apt,60,3,5,2017-09-04,0.14,1,0
1468813,Nice Room in Berlin-Friedrichshain,7697426,Jeva,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51807,13.46503,Private room,14,7,26,2019-05-03,0.61,1,166
1471271,Lovely 1br apartment - comfy ;-),7876978,Jocelyn,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51515,13.44253,Entire home/apt,33,14,2,2014-12-19,0.03,1,0
